size	encoders	mean_jsd	similarity	mean_jsd_weighted	similarity_weighted	accuracy	n_correct	kappa
4	haiku,opus,qwen,rinna_jp_3_6b_jpfull	0.23724032633360417	0.6577345576996299	0.12725318352748655	0.816412463187562	0.38235294117647056	39	0.28908065051443754
3	opus,qwen,rinna_jp_3_6b_jpfull	0.23726904115459652	0.6576931309697842	0.13097154239374142	0.8110480052909705	0.4117647058823529	42	0.33398628795298735
6	gpt_oss_20b,ministral,opus,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	0.2373793024216952	0.6575340575865388	0.13597882334626285	0.8038240258924302	0.39215686274509803	40	0.30945621314697525
6	bol,granite,haiku,ministral,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	0.23743081012777706	0.657459747674407	0.1415241452644322	0.7958238174609544	0.35294117647058826	36	0.25744540039708796
6	haiku,ministral,opus,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	0.23753045609144208	0.6573159889367828	0.13147610051714168	0.8103200817885008	0.35294117647058826	36	0.2576910353953027
7	bol,gpt_oss_20b,haiku,opus,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	0.23765726803295573	0.6571330379776357	0.138034834652511	0.8008578285768944	0.39215686274509803	40	0.30474934036939316
4	bol,granite,ministral,qwen	0.23773329934425658	0.6570233479818696	0.15495772571116426	0.7764432575690711	0.3235294117647059	33	0.22180451127819545
3	bol,gemma,rinna_bilingual_4b_jpfull	0.23774155027443278	0.6570114444058217	0.15540490851341163	0.775798109157898	0.4117647058823529	42	0.33238791316679395
4	gpt_oss_20b,granite,ministral,rinna_bilingual_4b_jpfull	0.23780661050338983	0.6569175823361462	0.14040839447965273	0.7974335055850237	0.3235294117647059	33	0.22094310382997562
3	bol,gpt_oss_20b,granite	0.23787553126376138	0.6568181506969439	0.1609129486394257	0.76785168698308	0.3137254901960784	32	0.20912715994683195
6	bol,gpt_oss_20b,granite,ministral,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	0.23806968713908327	0.6565380429784575	0.14685240705996408	0.7881367605919825	0.30392156862745096	31	0.2039133780367154
4	bol,haiku,opus,rinna_jp_3_6b_jpfull	0.23816761554259944	0.6563967621563426	0.14079377749697464	0.7968775154170906	0.37254901960784315	38	0.2794701986754966
6	bol,ministral,opus,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	0.2382076051352428	0.6563390693693488	0.14353769588426912	0.7929188779671368	0.3333333333333333	34	0.23897300855826198
4	bol,gpt_oss_20b,granite,rinna_jp_3_6b_jpfull	0.2382561437016369	0.6562690430203202	0.15041268312073564	0.7830003679749116	0.3137254901960784	32	0.2119205298013246
5	bol,haiku,opus,qwen,rinna_bilingual_4b_jpfull	0.2382969066901163	0.6562102344589891	0.1393142560721789	0.7990120136395323	0.38235294117647056	39	0.29229074889867834
3	bol,gpt_oss_20b,ministral	0.23831656540417204	0.6561818729297106	0.16051289656566928	0.7684288401259858	0.27450980392156865	28	0.17045829212001318
4	bol,granite,haiku,qwen	0.23843879123698633	0.656005538326841	0.14878650698503235	0.7853464442215027	0.3627450980392157	37	0.26366059529098185
4	bol,opus,qwen,rinna_jp_3_6b_jpfull	0.23847546605382597	0.6559526277504609	0.1450193639687477	0.7907812827694161	0.3431372549019608	35	0.24793661274347978
6	bol,gpt_oss_20b,granite,haiku,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	0.23856259356367293	0.6558269293240797	0.14112228336113816	0.7964035816359589	0.35294117647058826	36	0.25728155339805814
4	gpt_oss_20b,haiku,ministral,rinna_jp_3_6b_jpfull	0.2387656197845271	0.655534024402083	0.13530330147520087	0.8047985979458233	0.3431372549019608	35	0.2418460173064123
4	gpt_oss_20b,granite,ministral,rinna_jp_3_6b_jpfull	0.23879092565331902	0.6554975157506715	0.1386614187362515	0.799953858826582	0.30392156862745096	31	0.1956908040870725
5	gpt_oss_20b,granite,haiku,qwen,rinna_bilingual_4b_jpfull	0.23879951451885195	0.6554851246369602	0.13347059866294989	0.8074426292044811	0.4019607843137255	41	0.3072040975392495
5	bol,gpt_oss_20b,haiku,ministral,rinna_bilingual_4b_jpfull	0.23883819788157973	0.655429316341388	0.14758828058311416	0.7870751195094123	0.3235294117647059	33	0.22599802045529538
5	granite,haiku,ministral,qwen,rinna_bilingual_4b_jpfull	0.23888668812996616	0.6553593597005094	0.1354091826910738	0.8046458436407602	0.35294117647058826	36	0.25596816976127323
6	gpt_oss_20b,haiku,opus,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	0.23916453854871228	0.6549585062792755	0.13189810139362426	0.8097112632167486	0.3431372549019608	35	0.24577861163227022
4	gpt_oss_20b,haiku,ministral,rinna_bilingual_4b_jpfull	0.23916709887231707	0.6549548125131077	0.1370091718522327	0.8023375472124802	0.29411764705882354	30	0.19287833827893175
3	bol,opus,rinna_jp_3_6b_jpfull	0.23917858838066655	0.6549382366563897	0.14746261686016424	0.7872564139393318	0.3235294117647059	33	0.22369291859695561
5	gpt_oss_20b,granite,haiku,qwen,rinna_jp_3_6b_jpfull	0.23930111530052509	0.6547614676767344	0.13287833386441128	0.8082970866922259	0.43137254901960786	44	0.34134936539746163
4	bol,granite,ministral,rinna_jp_3_6b_jpfull	0.2394448635672346	0.6545540827652162	0.15384790667162937	0.7780443879936922	0.30392156862745096	31	0.20075046904315197
7	bol,granite,haiku,ministral,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	0.23952435649910014	0.654439398706628	0.1436170314787472	0.7928044208984173	0.38235294117647056	39	0.29135421261579186
5	granite,haiku,ministral,qwen,rinna_jp_3_6b_jpfull	0.23969117381560728	0.6541987321913688	0.1350380997194191	0.8051812032037248	0.39215686274509803	40	0.2962385933674605
6	bol,gpt_oss_20b,opus,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	0.23975849076102745	0.6541016143680434	0.14371210010428725	0.7926672658638065	0.37254901960784315	38	0.2836607044880939
5	bol,gpt_oss_20b,granite,qwen,rinna_jp_3_6b_jpfull	0.23990867320731898	0.65388494689755	0.1498260020859743	0.7838467697943454	0.3431372549019608	35	0.24552881430779427
6	bol,gpt_oss_20b,haiku,ministral,qwen,rinna_jp_3_6b_jpfull	0.23993436297247137	0.653847884400763	0.1474088403645173	0.7873339970229181	0.35294117647058826	36	0.2589983489268025
2	gpt_oss_20b,granite	0.24003716227680522	0.6536995763541937	0.14259125004960443	0.7942843106792775	0.28431372549019607	29	0.1708240534521157
7	gpt_oss_20b,granite,haiku,ministral,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	0.240214194136202	0.6534441733685628	0.13707118237024923	0.8022480849456547	0.4019607843137255	41	0.3125621478289692
7	bol,gpt_oss_20b,granite,haiku,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	0.24030352602673632	0.6533152946930956	0.14301261678646365	0.7936764069776152	0.35294117647058826	36	0.25801829604320514
4	bol,opus,qwen,rinna_bilingual_4b_jpfull	0.24030979006731448	0.6533062575928175	0.14604241170571908	0.7893053368726948	0.30392156862745096	31	0.2048748353096178
4	bol,haiku,opus,rinna_bilingual_4b_jpfull	0.240525584614132	0.652994931870273	0.1418045832445471	0.7954192309777657	0.38235294117647056	39	0.29197884530630225
3	gpt_oss_20b,granite,qwen	0.24056073483956816	0.6529442208143501	0.14126410129200964	0.7961989816103815	0.3137254901960784	32	0.2048997772828508
7	bol,gpt_oss_20b,granite,ministral,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	0.24065468270567802	0.6528086826938113	0.14885862100666516	0.7852424056801145	0.30392156862745096	31	0.2039133780367154
5	bol,granite,ministral,qwen,rinna_jp_3_6b_jpfull	0.24075720091974803	0.6526607801747717	0.15268373784798314	0.7797239285823242	0.29411764705882354	30	0.19136754018938562
4	bol,gpt_oss_20b,granite,rinna_bilingual_4b_jpfull	0.24079192155304083	0.6526106888893037	0.15433124314464944	0.7773470808609855	0.2647058823529412	27	0.15674603174603174
5	ministral,opus,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	0.24079204025311576	0.6526105176412942	0.13888239246938233	0.7996350611176274	0.38235294117647056	39	0.30439489066897596
2	gpt_oss_20b,haiku	0.24089436646659024	0.6524628921205616	0.13657815630343198	0.8029593712072809	0.28431372549019607	29	0.170639340610381
