model	axis	mode	subsample_idx	n_d_prompts	n_s_prompts	n_d_rows	n_s_rows	pca_cap	raw_acc	bal_acc	auc	null_bal_q95	null_auc_q95	separable
granite	HN	matched	0	5	15	39	109	20	0.527027027027027	0.48129851799576573	0.4812985179957657	0.653827427602174	0.653827427602174	False
granite	HN	matched	1	5	15	39	109	20	0.6418918918918919	0.6333803810868031	0.6333803810868031	0.8164601769911504	0.8164601769911504	False
granite	HN	matched	2	5	15	40	108	20	0.5945945945945946	0.5333333333333333	0.5333333333333333	0.6440878917194707	0.6466764590677634	False
granite	HN	matched	3	5	15	39	107	20	0.3972602739726027	0.4584231967409538	0.4584231967409538	0.668417623857905	0.6684176238579052	False
granite	HN	matched	4	5	15	39	112	20	0.39072847682119205	0.26339285714285715	0.26339285714285715	0.6570563577084302	0.6758965999068467	False
granite	HN	matched	5	5	15	39	107	20	0.5342465753424658	0.5600287562904385	0.5600287562904386	0.6880563264641116	0.6880563264641115	False
granite	HN	matched	6	5	15	40	107	20	0.6258503401360545	0.6177570093457944	0.6177570093457945	0.733941840367875	0.733941840367875	False
granite	HN	matched	7	5	15	40	110	20	0.49333333333333335	0.4636363636363636	0.48	0.6378884695496536	0.6378884695496535	False
granite	HN	matched	8	5	15	40	108	20	0.5337837837837838	0.4287037037037037	0.4287037037037037	0.6265873015873012	0.6265873015873012	False
granite	HN	matched	9	5	15	40	109	20	0.5234899328859061	0.4211009174311927	0.4211009174311926	0.6714728988716651	0.6694409853038451	False
granite	HN	matched	10	5	15	39	112	20	0.5960264900662252	0.5271291208791209	0.5271291208791209	0.667855464159812	0.667855464159812	False
granite	HN	matched	11	5	15	39	109	20	0.4527027027027027	0.4390731592566455	0.4390731592566454	0.6690067043048694	0.6690067043048693	False
granite	HN	matched	12	5	15	40	107	20	0.5374149659863946	0.5570093457943925	0.5570093457943925	0.6447474397474396	0.6548020456353787	False
granite	HN	matched	13	5	15	40	107	20	0.5238095238095238	0.5476635514018692	0.5476635514018693	0.7815366972477062	0.7815366972477062	False
granite	HN	matched	14	5	15	40	107	20	0.5374149659863946	0.5570093457943925	0.5570093457943925	0.7390755372945638	0.7390755372945638	False
granite	HN	matched	15	5	15	38	109	20	0.7210884353741497	0.7433606953162724	0.690246257846451	0.6416418287446325	0.6471091184642587	True
granite	HN	matched	16	5	15	39	107	20	0.3698630136986301	0.2523364485981308	0.25233644859813087	0.7698792016806721	0.7698792016806723	False
granite	HN	matched	17	5	15	40	110	20	0.5533333333333333	0.5045454545454546	0.5045454545454546	0.6591400375939849	0.6591400375939849	False
granite	HN	matched	18	5	15	39	108	20	0.4897959183673469	0.5217236467236468	0.5217236467236468	0.6354290446170299	0.6572244434717076	False
granite	HN	matched	19	5	15	39	107	20	0.2808219178082192	0.25676971004073806	0.2567697100407381	0.7617253812020851	0.7721245408659506	False
granite	LN	full	0	5	15	34	94	20	0.484375	0.40488110137672095	0.40488110137672095	0.6879850635906536	0.6879850635906535	False
