project	quadrant	count	share_of_known	n_total	n_known	n_gt	n_bol	n_unknown
geon	NP	1	0.0769	15	13	13	0	2
geon	HN-D	0	0.0	15	13	13	0	2
geon	HN-S	0	0.0	15	13	13	0	2
geon	LN	0	0.0	15	13	13	0	2
geon	NB	2	0.1538	15	13	13	0	2
geon	HB	1	0.0769	15	13	13	0	2
hylic	HP-D	4	0.2	30	20	20	0	10
hylic	HP-S	2	0.1	30	20	20	0	10
hylic	LP	4	0.2	30	20	20	0	10
hylic	NP	5	0.25	30	20	20	0	10
hylic	HN-D	0	0.0	30	20	20	0	10
hylic	HN-S	0	0.0	30	20	20	0	10
hylic	LN	0	0.0	30	20	20	0	10
hylic	NB	4	0.2	30	20	20	0	10
hylic	HB	1	0.05	30	20	20	0	10
introspection-via-kaomoji	HP-D	0	0.0	2	2	2	0	0
introspection-via-kaomoji	HP-S	0	0.0	2	2	2	0	0
introspection-via-kaomoji	LP	0	0.0	2	2	2	0	0
introspection-via-kaomoji	NP	1	0.5	2	2	2	0	0
introspection-via-kaomoji	HN-D	0	0.0	2	2	2	0	0
introspection-via-kaomoji	HN-S	1	0.5	2	2	2	0	0
introspection-via-kaomoji	LN	0	0.0	2	2	2	0	0
introspection-via-kaomoji	NB	0	0.0	2	2	2	0	0
introspection-via-kaomoji	HB	0	0.0	2	2	2	0	0
kenoma	HP-D	8	0.2162	54	37	37	0	17
kenoma	HP-S	0	0.0	54	37	37	0	17
kenoma	LP	4	0.1081	54	37	37	0	17
kenoma	NP	13	0.3514	54	37	37	0	17
kenoma	HN-D	1	0.027	54	37	37	0	17
kenoma	HN-S	0	0.0	54	37	37	0	17
kenoma	LN	1	0.027	54	37	37	0	17
kenoma	NB	9	0.2432	54	37	37	0	17
kenoma	HB	1	0.027	54	37	37	0	17
llmdriven	HP-D	0	0.0	4	3	3	0	1
llmdriven	HP-S	0	0.0	4	3	3	0	1
llmdriven	LP	1	0.3333	4	3	3	0	1
llmdriven	NP	1	0.3333	4	3	3	0	1
llmdriven	HN-D	0	0.0	4	3	3	0	1
llmdriven	HN-S	0	0.0	4	3	3	0	1
llmdriven	LN	0	0.0	4	3	3	0	1
llmdriven	NB	0	0.0	4	3	3	0	1
llmdriven	HB	1	0.3333	4	3	3	0	1
llmoji	HP-D	73	0.2039	428	358	358	0	70
llmoji	HP-S	8	0.0223	428	358	358	0	70
llmoji	LP	44	0.1229	428	358	358	0	70
llmoji	NP	132	0.3687	428	358	358	0	70
llmoji	HN-D	0	0.0	428	358	358	0	70
llmoji	HN-S	3	0.0084	428	358	358	0	70
