project	quadrant	count	share_of_known	n_total	n_known	n_gt	n_bol	n_unknown
talkie-interface	HP-S	0	0.0	10	10	7	3	0
talkie-interface	LP	4	0.4	10	10	7	3	0
talkie-interface	NP	6	0.6	10	10	7	3	0
talkie-interface	HN-D	0	0.0	10	10	7	3	0
talkie-interface	HN-S	0	0.0	10	10	7	3	0
talkie-interface	LN	0	0.0	10	10	7	3	0
talkie-interface	NB	0	0.0	10	10	7	3	0
talkie-interface	HB	0	0.0	10	10	7	3	0
tasty-bot	HP-D	10	0.1786	56	56	34	22	0
tasty-bot	HP-S	11	0.1964	56	56	34	22	0
tasty-bot	LP	3	0.0536	56	56	34	22	0
tasty-bot	NP	17	0.3036	56	56	34	22	0
tasty-bot	HN-D	2	0.0357	56	56	34	22	0
tasty-bot	HN-S	1	0.0179	56	56	34	22	0
tasty-bot	LN	6	0.1071	56	56	34	22	0
tasty-bot	NB	2	0.0357	56	56	34	22	0
tasty-bot	HB	4	0.0714	56	56	34	22	0
tasty-mcp	HP-D	6	0.1667	36	36	36	0	0
tasty-mcp	HP-S	0	0.0	36	36	36	0	0
tasty-mcp	LP	0	0.0	36	36	36	0	0
tasty-mcp	NP	30	0.8333	36	36	36	0	0
tasty-mcp	HN-D	0	0.0	36	36	36	0	0
tasty-mcp	HN-S	0	0.0	36	36	36	0	0
tasty-mcp	LN	0	0.0	36	36	36	0	0
tasty-mcp	NB	0	0.0	36	36	36	0	0
tasty-mcp	HB	0	0.0	36	36	36	0	0
v3	HP-D	0	0.0	7	7	5	2	0
v3	HP-S	2	0.2857	7	7	5	2	0
v3	LP	0	0.0	7	7	5	2	0
v3	NP	2	0.2857	7	7	5	2	0
v3	HN-D	0	0.0	7	7	5	2	0
v3	HN-S	0	0.0	7	7	5	2	0
v3	LN	0	0.0	7	7	5	2	0
v3	NB	2	0.2857	7	7	5	2	0
v3	HB	1	0.1429	7	7	5	2	0
verify	HP-D	0	0.0	7	7	6	1	0
verify	HP-S	1	0.1429	7	7	6	1	0
